Framework,Language,Seek,Linkedin,Indeed,Adzuna
Java,Java,534,256,74,246
Spring,Java,130,92,27,45
JSF,Java,12,3,4,8
Play,Java,2,12,0,1
GWT,Java,0,1,4,
Vaadin,Java,0,0,1,
Hibernate,Java,53,22,12,19
Grails,Java,4,1,1,
Kotlin,Kotlin,36,10,34,15
Scala,Scala,44,32,36,13
Python,Python,285,190,49,136
Django,Python,32,9,3,9
flask,Python,5,0,2,
web2py,Python,1,0,0,
JavaScript,JavaScript,689,277,89,254
Node.js,JavaScript,90,39,22,95
Angular,JavaScript,302,109,49,200
React,JavaScript,241,110,42,150
Vue,JavaScript,70,31,12,85
Ember,JavaScript,7,4,15,8
MEAN,JavaScript,102,16,29,
Ruby,Ruby,77,63,13,32
Ruby on Rails,Ruby,20,16,13,3
PHP,PHP,242,86,251,72
Laravel,PHP,62,19,60,18
CakePHP,PHP,4,1,2,1
CodeIgniter,PHP,17,4,3,1
Zend,PHP,15,5,14,5
Yii,PHP,9,2,7,3
Symfony,PHP,39,11,26,9
C#,C#,376,148,371,141
Asp.net,C#,500,170,615,339
Xamarin,C#,19,9,23,9
Swift,Swift,67,25,63,35
ios,ios,167,88,185,60
Android,Android,142,56,162,50
C++,C++,92,48,109,43
Perl,Perl,42,22,60,18
